CODIGO,ENTIDAD,NOMBRE FANTASIA,DIRECCION,COMUNA,HORARIO REFERENCIAL,ESTE,NORTE,LONGITUD,LATITUD
142,UNIMARC,UNIMARC ALTO JAHUEL,MIRAFLORES 242,BUIN,Lun-Dom 09:00 a 20:00,344013,6265974,-70.68438,-33.735082
143,UNIMARC,UNIMARC SAN JOAQUIN,SANTA ROSA 5320,SAN JOAQUIN,Lun-Dom 09:00 a 20:00,347827,6291432,-70.63829166666666,-33.5057238888889
144,UNIMARC,UNIMARC GRAN AVENIDA 1,GRAN AVENIDA JOSE MIGUEL CARRERA 5485 - 5620,SAN MIGUEL,Lun-Dom 09:00 a 20:00,346251,6291634,-70.65522499999997,-33.50367933333334
145,UNIMARC,UNIMARC DIEGO PORTALES,PORTUGAL 56,SANTIAGO,Lun-Dom 09:00 a 20:00,347622,6298581,-70.63928769230766,-33.44124153846153
146,UNIMARC,UNIMARC ESTADO,ESTADO 85-93-95,SANTIAGO,Lun-Dom 09:00 a 20:00,346718,6298498,-70.6490317802572,-33.44197592224275
147,UNIMARC,UNIMARC ESPACIO M,COMPAÑIA 1214,SANTIAGO,Lun-Dom 09:00 a 20:00,346315,6298882,-70.6540427730639,-33.4386299257484
149,UNIMARC,UNIMARC RENCA BIGGER,AV. BRASIL 7073-7085,RENCA,Lun-Dom 09:00 a 20:00,337699,6302950,-70.7452052654659,-33.4003926036353
150,UNIMARC,UNIMARC VITACURA,AV. VITACURA 4607,VITACURA,Lun-Dom 09:00 a 20:00,352462,6303414,-70.58644919291348,-33.39845424503488
151,UNIMARC,UNIMARC SANTA MARIA,SANTA MARIA 6940,VITACURA,Lun-Dom 09:00 a 20:00,354095,6305848,-70.5685015296984,-33.37672678934954
152,UNIMARC,UNIMARC PUDAHUEL,SAN PABLO 8315,PUDAHUEL,Lun-Dom 09:00 a 20:00,338235,6298105,-70.74089,-33.444551
153,UNIMARC,UNIMARC HUECHURABA,AV. PEDRO FONTOVA 7626,HUECHURABA,Lun-Dom 09:00 a 20:00,344579,6308748,-70.6702618902826,-33.3491351263854
155,UNIMARC,UNIMARC EL ABRAZO,CAMINO A MELIPILLA 16860,MAIPU,Lun-Dom 09:00 a 20:00,334781,6287061,-70.780068,-33.543589
157,UNIMARC,UNIMARC ALFEREZ REAL,AV. MANUEL MONTT 1097 ESQUINA ALFEREZ REAL PISO -1,PROVIDENCIA,Lun-Dom 09:00 a 20:00,349784,6299028,-70.615965752,-33.437514134
159,UNIMARC,OK MARKET ELIODORO YAÑEZ,AV. PROVIDENCIA 753-759-763,PROVIDENCIA,Lun-Dom 09:00 a 20:00,348894,6299532,-70.62545892622124,-33.43295613888134
160,UNIMARC,OK MARKET EL RODEO,AV. LA DEHESA 2035 LOCAL 3 y 4,LO BARNECHEA,Lun-Dom 09:00 a 20:00,358777,6308651,-70.51831066,-33.35236727
163,UNIMARC,Ok Market Ciudad Empresarial,AV. SANTA CLARA 354, LOCALES 102 Y 107,HUECHURABA,Lun-Dom 09:00 a 20:00,349897,6304006,-70.6144908536614,-33.3930467031672
164,UNIMARC,OK MARKET IRARRAZAVAL,AV. IRARRAZABAL 3674,ÑUÑOA,Lun-Dom 09:00 a 20:00,352075,6297152,-70.59221381482593,-33.45514363505319
165,UNIMARC,Ok Market Macul,AV. MACUL 3440,MACUL,Lun-Dom 09:00 a 20:00,351473,6293739,-70.5992514590774,-33.485831257858486
166,UNIMARC,Ok Market Rosario Norte,ROSARIO NORTE 530, LOCALES 104, 105 Y 106,LAS CONDES,Lun-Dom 09:00 a 20:00,353772,6302793,-70.5730424247903,-33.4045172561425
167,UNIMARC,Ok Market Tobalaba,AV. PROVIDENCIA 2646 - 2658 LOCAL 16,PROVIDENCIA,Lun-Dom 09:00 a 20:00,351089,6301207,-70.6021390378432,-33.418453013673
168,UNIMARC,Ok Market Encomenderos,SAN SEBASTIAN 2701,LAS CONDES,Lun-Dom 09:00 a 20:00,351077,6301409,-70.6022430949566,-33.4166292576182
169,UNIMARC,Ok Market Santa Blanca,AV. JOSE ALCALDE DELANO 11293 ,LO BARNECHEA,Lun-Dom 09:00 a 20:00,357470,6308337,-70.53240408856489,-33.355025553646236
170,UNIMARC,Ok Market Los Ingleses,AV. CHICUREO KM. 2 BOULEVARD LOS INGLESES,COLINA,Lun-Dom 09:00 a 20:00,344030,6315766,-70.6755224365375,-33.2861869796065
171,UNIMARC,UNIMARC TALAGANTE,LIBERTADOR BERNARDO O'HIGGINS 2259,TALAGANTE,Lun-Dom 09:00 a 20:00,319929,6272647,-70.942314,-33.670833
172,UNIMARC,UNIMARC NOS,Camino Nos Los Morros N° 565 Local F,SAN BERNARDO,Lun-Dom 09:00 a 20:00,342074,6276468,-70.702775,-33.639939
173,UNIMARC,OK MARKET SAN PASCUAL,AV. APOQUINDO 4671,LAS CONDES,Lun-Dom 09:00 a 20:00,353018,6301795,-70.580735,-33.413128
200,WALMART,LIDER EXPRESS LYON,AV. NUEVA PROVIDENCIA 2249,PROVIDENCIA,Lun-Dom 08:30-22:30,350483,6300777,-70.6081661556346,-33.4219538517412
201,WALMART,LIDER HIPER INDEPENDENCIA,AV. INDEPENDENCIA 4142,CONCHALI,Lun-Dom y Fest. 08:30-22:00,344158,6304216,-70.6755763593055,-33.3900453115187
202,WALMART,LIDER EXPRESS SANTO DOMINGO,SANTO DOMINGO 1031,SANTIAGO,Lun-Dom 08:30-22:30,346464,6299147,-70.6516548119126,-33.4360880401112
203,WALMART,LIDER HIPER PUENTE ALTO,AV. CONCHA Y TORO 1149,PUENTE ALTO,Lun-Dom y Fest. 08:30-22:00,353633,6281124,-70.5775013992747,-33.5994671217027
204,WALMART,LIDER EXPRESS HUERFANOS,HUERFANOS 827,SANTIAGO,Lun-Dom 08:30-22:30,346756,6298799,-70.6485729715654,-33.4392619273105
205,WALMART,LIDER HIPER PUENTE NUEVO,AV. LAS CONDES 12916,LO BARNECHEA,"Lun-Sáb 08:00-22:00
Dom 09:00-22:00",359303,6306592,-70.5124132700129,-33.3707159149033
206,WALMART,LIDER HIPER DEPARTAMENTAL,AV. AMERICO VESPUCIO 6325,LA FLORIDA,"Lun-Sáb 08:30-22:00
Dom y Fest. 09:00-22:00",352209,6290997,-70.591186,-33.510433
207,WALMART,LIDER EXPRESS SAN PABLO,SAN PABLO 2362,SANTIAGO,Lun-Dom 08:30-22:30,344728,6299227,-70.6703095942928,-33.4351117170152
208,WALMART,LIDER EXPRESS VITACURA,AV. VITACURA 4100,VITACURA,Lun-Dom 08:30-22:30,352081,6303248,-70.590576297215,-33.3998990540761
209,WALMART,LIDER EXPRESS MAIPU,AV. LOS PAJARITOS 1790,MAIPU,Lun-Dom 08:30-22:30,334970,6290719,-70.7767871139999,-33.5102455959999
210,WALMART,LIDER EXPRESS NONATO COO,NONATO COO 3108,PUENTE ALTO,Lun-Dom 08:30-22:30,354339,6283507,-70.5695087566837,-33.5781976112227
211,WALMART,LIDER EXPRESS PLAZA ITALIA,RANCAGUA 0180,PROVIDENCIA,Lun-Dom 08:30-22:30,348465,6298654,-70.6302176043761,-33.4408174704335
212,WALMART,LIDER HIPER IRARRAZAVAL,AV. IRARRAZAVAL 2928,ÑUÑOA,"Lun-Sáb 08:00-22:00
Dom y Fest. 08:30-22:00
",351240,6297150,-70.6006210653509,-33.4547651690121
213,WALMART,LIDER EXPRESS LAS REJAS,AV. LIBERTADOR BERNARDO O'HIGGINS 5199,ESTACION CENTRAL,Lun-Dom 08:30-22:30,341411,6296733,-70.7064214225571,-33.4571151736776
214,WALMART,LIDER EXPRESS PUENTE ALTO,AV. MEXICO 1598,PUENTE ALTO,Lun-Dom 08:30-22:30,355323,6281696,-70.5592016467882,-33.5946574220441
